"candidate","fold","term","coefficient"
"miles_df3",1,"P_miles_ns1",0.0824575609295538
"miles_df3",1,"P_miles_ns2",-0.0152793164914572
"miles_df3",1,"P_miles_ns3",0.0536424461420555
"miles_df3",1,"In_miles_ns1",-1.22990481207848
"miles_df3",1,"In_miles_ns2",0.570875417490319
"miles_df3",1,"In_miles_ns3",0.426873493867956
"miles_df3",2,"P_miles_ns1",-0.0345077332482066
"miles_df3",2,"P_miles_ns2",-0.014350994626262
"miles_df3",2,"P_miles_ns3",0.0990001044144428
"miles_df3",2,"In_miles_ns1",-0.960064437044482
"miles_df3",2,"In_miles_ns2",1.43802630531418
"miles_df3",2,"In_miles_ns3",1.64378259381733
"miles_df3",3,"P_miles_ns1",0.0672149617338786
"miles_df3",3,"P_miles_ns2",0.0220215007978095
"miles_df3",3,"P_miles_ns3",0.0622970736690835
"miles_df3",3,"In_miles_ns1",-1.52626655604865
"miles_df3",3,"In_miles_ns2",0.78835355658434
"miles_df3",3,"In_miles_ns3",1.05878285378672
"miles_df3",4,"P_miles_ns1",-0.00491751249987422
"miles_df3",4,"P_miles_ns2",-0.013298382430173
"miles_df3",4,"P_miles_ns3",0.0749922009631595
"miles_df3",4,"In_miles_ns1",-0.58669216290929
"miles_df3",4,"In_miles_ns2",0.719235302603725
"miles_df3",4,"In_miles_ns3",0.401442985188664
"miles_df3",5,"P_miles_ns1",0.047329097034299
"miles_df3",5,"P_miles_ns2",-0.0233512886920304
"miles_df3",5,"P_miles_ns3",0.0539388161813511
"miles_df3",5,"In_miles_ns1",-0.847380693535246
"miles_df3",5,"In_miles_ns2",1.03848073860241
"miles_df3",5,"In_miles_ns3",0.881296850628923
