"candidate","term","coefficient"
"age_df3","P_age_ns1",-0.0490109065630316
"age_df3","P_age_ns2",-0.287218129981675
"age_df3","P_age_ns3",-0.137708862034099
"age_df3","In_age_ns1",-0.165897907718636
"age_df3","In_age_ns2",0.141276239865867
"age_df3","In_age_ns3",-0.112550489473572
"miles_df3","P_miles_ns1",0.0515184504076439
"miles_df3","P_miles_ns2",-0.00468043497545262
"miles_df3","P_miles_ns3",0.0816540409959731
"miles_df3","In_miles_ns1",-1.13919484884167
"miles_df3","In_miles_ns2",1.13535425082457
"miles_df3","In_miles_ns3",1.46052832430814
"income_df3","P_income_ns1",0.137948318472506
"income_df3","P_income_ns2",-0.0809774310982719
"income_df3","P_income_ns3",-0.0815450130087704
"income_df3","In_income_ns1",0.0298809813437716
"income_df3","In_income_ns2",0.948704404111517
"income_df3","In_income_ns3",1.22352528409932
"age_df4","P_age_ns1",-0.144178273839359
"age_df4","P_age_ns2",-0.0414124952651128
"age_df4","P_age_ns3",-0.210012738165991
"age_df4","P_age_ns4",-0.192961436985844
"age_df4","In_age_ns1",0.195918382737541
"age_df4","In_age_ns2",-0.349203581829416
"age_df4","In_age_ns3",-0.249679360890653
"age_df4","In_age_ns4",0.141589025849195
"miles_df4","P_miles_ns1",-0.0698851473410801
"miles_df4","P_miles_ns2",-0.0199856582447352
"miles_df4","P_miles_ns3",-0.126393504927019
"miles_df4","P_miles_ns4",0.126991756919126
"miles_df4","In_miles_ns1",0.81924863061493
"miles_df4","In_miles_ns2",-0.142517542995074
"miles_df4","In_miles_ns3",2.34002396799895
"miles_df4","In_miles_ns4",0.555713736037453
"income_df4","P_income_ns1",-0.0953147484221941
"income_df4","P_income_ns2",0.088335648214951
"income_df4","P_income_ns3",-0.133677621056566
"income_df4","P_income_ns4",-0.0885557136190709
"income_df4","In_income_ns1",0.33460251893073
"income_df4","In_income_ns2",0.287682671392226
"income_df4","In_income_ns3",1.30216839914507
"income_df4","In_income_ns4",1.25026597360568
