"No","Ch1","Ch2","Ch3","Ch4"
21566,0.194,0.142,0.3,0.364
21567,0.086,0.28,0.396,0.238
21568,0.206,0.396,0.09,0.308
21569,0.554,0.098,0.17,0.178
21570,0.168,0.194,0.562,0.076
21571,0.098,0.592,0.116,0.194
21572,0.138,0.098,0.51,0.254
21573,0.16,0.132,0.176,0.532
21574,0.134,0.262,0.382,0.222
21575,0.074,0.106,0.642,0.178
21576,0.194,0.166,0.27,0.37
21577,0.242,0.124,0.542,0.092
21578,0.314,0.246,0.208,0.232
21579,0.142,0.17,0.186,0.502
21580,0.106,0.396,0.154,0.344
21581,0.344,0.126,0.164,0.366
21582,0.126,0.168,0.438,0.268
21583,0.14,0.166,0.214,0.48
21584,0.18,0.272,0.162,0.386
21585,0.322,0.192,0.134,0.352
21586,0.168,0.434,0.184,0.214
21587,0.08,0.51,0.166,0.244
21588,0.096,0.146,0.538,0.22
21589,0.134,0.102,0.498,0.266
21590,0.126,0.132,0.49,0.252
21591,0.086,0.202,0.394,0.318
21592,0.134,0.328,0.118,0.42
21593,0.544,0.186,0.108,0.162
21594,0.126,0.138,0.28,0.456
21595,0.284,0.172,0.102,0.442
21596,0.124,0.674,0.072,0.13
21597,0.366,0.23,0.114,0.29
21598,0.088,0.39,0.35,0.172
21599,0.256,0.412,0.23,0.102
21600,0.11,0.222,0.112,0.556
21601,0.096,0.162,0.216,0.526
21602,0.068,0.528,0.276,0.128
21603,0.444,0.112,0.13,0.314
21604,0.134,0.126,0.464,0.276
21605,0.084,0.04,0.656,0.22
21606,0.322,0.068,0.348,0.262
21607,0.592,0.124,0.06,0.224
21608,0.1,0.61,0.05,0.24
21609,0.094,0.048,0.492,0.366
21610,0.33,0.352,0.056,0.262
21611,0.066,0.16,0.464,0.31
21612,0.656,0.086,0.188,0.07
21613,0.05,0.216,0.408,0.326
21614,0.056,0.38,0.288,0.276
21615,0.346,0.384,0.038,0.232
21616,0.124,0.046,0.684,0.146
21617,0.19,0.266,0.292,0.252
21618,0.228,0.08,0.27,0.422
21619,0.246,0.17,0.1,0.484
21620,0.05,0.642,0.054,0.254
21621,0.088,0.5,0.112,0.3
21622,0.086,0.3,0.138,0.476
21623,0.33,0.36,0.1,0.21
21624,0.32,0.386,0.106,0.188
21625,0.128,0.13,0.476,0.266
21626,0.482,0.146,0.146,0.226
21627,0.098,0.216,0.464,0.222
21628,0.33,0.478,0.098,0.094
21629,0.398,0.172,0.118,0.312
21630,0.124,0.168,0.258,0.45
21631,0.166,0.146,0.558,0.13
21632,0.126,0.248,0.446,0.18
21633,0.114,0.272,0.298,0.316
21634,0.198,0.576,0.138,0.088
21635,0.12,0.638,0.168,0.074
21636,0.374,0.304,0.136,0.186
21637,0.384,0.35,0.126,0.14
21638,0.214,0.432,0.274,0.08
21639,0.166,0.524,0.162,0.148
21640,0.35,0.312,0.222,0.116
21641,0.318,0.206,0.366,0.11
21642,0.56,0.102,0.168,0.17
21643,0.072,0.19,0.592,0.146
21644,0.246,0.266,0.214,0.274
21645,0.124,0.69,0.07,0.116
21646,0.118,0.136,0.516,0.23
21647,0.12,0.176,0.48,0.224
21648,0.37,0.186,0.33,0.114
