"Ch1","Ch2","Ch3","Ch4","No"
0.138,0.586,0.19,0.086,1
0.368,0.188,0.108,0.336,2
0.226,0.15,0.122,0.502,3
0.236,0.124,0.11,0.53,4
0.2,0.172,0.54,0.088,5
0.604,0.106,0.086,0.204,6
0.16,0.578,0.07,0.192,7
0.46,0.102,0.12,0.318,8
0.074,0.312,0.112,0.502,9
0.198,0.212,0.08,0.51,10
0.148,0.372,0.138,0.342,11
0.112,0.086,0.67,0.132,12
0.096,0.06,0.35,0.494,13
0.136,0.202,0.102,0.56,14
0.092,0.556,0.096,0.256,15
0.148,0.088,0.136,0.628,16
0.136,0.212,0.12,0.532,17
0.106,0.582,0.08,0.232,18
0.072,0.254,0.202,0.472,19
0.216,0.416,0.242,0.126,20
0.366,0.228,0.126,0.28,21
0.208,0.238,0.212,0.342,22
0.124,0.614,0.14,0.122,23
0.126,0.34,0.236,0.298,24
0.18,0.286,0.266,0.268,25
0.232,0.164,0.376,0.228,26
0.168,0.112,0.582,0.138,27
0.112,0.118,0.562,0.208,28
0.114,0.326,0.254,0.306,29
0.328,0.272,0.08,0.32,30
0.092,0.18,0.416,0.312,31
0.15,0.244,0.208,0.398,32
0.328,0.136,0.198,0.338,33
0.268,0.192,0.184,0.356,34
0.19,0.294,0.252,0.264,35
0.326,0.184,0.124,0.366,36
0.296,0.104,0.288,0.312,37
0.192,0.454,0.192,0.162,38
0.084,0.12,0.572,0.224,39
0.228,0.118,0.066,0.588,40
0.1,0.076,0.386,0.438,41
0.454,0.082,0.266,0.198,42
0.546,0.086,0.072,0.296,43
0.08,0.478,0.228,0.214,44
0.086,0.214,0.46,0.24,45
0.214,0.148,0.362,0.276,46
0.444,0.166,0.286,0.104,47
0.102,0.47,0.242,0.186,48
0.096,0.384,0.394,0.126,49
0.064,0.696,0.092,0.148,50
0.388,0.066,0.404,0.142,51
0.086,0.714,0.062,0.138,52
0.252,0.078,0.206,0.464,53
0.696,0.106,0.088,0.11,54
0.088,0.3,0.376,0.236,55
0.22,0.13,0.104,0.546,56
0.076,0.378,0.296,0.25,57
0.16,0.158,0.308,0.374,58
0.222,0.404,0.07,0.304,59
0.188,0.186,0.2,0.426,60
0.16,0.276,0.246,0.318,61
0.106,0.158,0.428,0.308,62
0.2,0.25,0.158,0.392,63
0.14,0.308,0.14,0.412,64
0.134,0.126,0.366,0.374,65
0.176,0.218,0.232,0.374,66
0.374,0.16,0.174,0.292,67
